OBJECTID,HSISID,NAME,ADDRESS1,ADDRESS2,CITY,STATE,POSTALCODE,PHONENUMBER,RESTAURANTOPENDATE,FACILITYTYPE,PERMITID,X,Y,GEOCODESTATUS
1902664,04092021888,LOWES FOODS #191 BEEF SHOP,9600 STRICKLAND RD ,,RALEIGH,NC,27615,(919) 847-5661,2015/10/02 04:00:00+00,Food Stand,296,-78.65568292,35.90277448,M
1902665,04092040390,DeeVine Dogs (WCID #833),7106 KNIGHTDALE BLVD,,KNIGHTDALE,NC,27545-9265,(718) 581-7456,2021/06/01 04:00:00+00,Pushcarts,307,-78.49110797,35.79651289,M
1902666,04092018422,Moe's Southwest Grill #283,10760 WAKEFIELD COMMONS DR,,RALEIGH,NC,27614,(919) 570-3222,2020/08/19 04:00:00+00,Restaurant,313,-78.5408878,35.94279833,M
1902667,04092018645,Five Guys #1710,1121 Parkside Main ST ,,CARY,NC,27519,(919) 380-0450,2021/06/07 04:00:00+00,Restaurant,328,-78.88929435,35.84836238,M
1902668,04092017849,The Melting Pot,3100 Wake Forest RD ,,RALEIGH,NC,27609-7846,(919) 878-0477,2018/05/14 04:00:00+00,Restaurant,334,-78.62038753,35.82333592,M
1902669,04092030223,Valentino's (WCID 378),4820 Signett DR ,,RALEIGH,NC,27615,(919) 376-5814,2010/07/09 04:00:00+00,Mobile Food Units,335,-78.58339304,35.85150753,M
1902670,04092025358,Oak City Pizza,2906 Hillsborough  ST ,,RALEIGH,NC,27607,(919) 322-2544,2021/04/28 04:00:00+00,Food Stand,343,-78.67526404,35.78962141,M
1902671,04092018228,Hady International Food,717-199 E MARTIN ST ,,RALEIGH,NC,27610,(919) 741-1111,2019/11/13 05:00:00+00,Restaurant,67,-78.62699406,35.77656647,M
1902672,04092018646,Five Guys #1797,1075 Pine Plaza BLVD ,,APEX,NC,27523,(919) 616-0011,2021/06/07 04:00:00+00,Restaurant,133,-78.82917015,35.7478436,M
1902673,04092015099,Subway #41217,8410-140 Louisburg RD ,,RALEIGH,NC,27616,(919) 266-0300,2008/03/25 04:00:00+00,Restaurant,183,-78.51125194,35.89400635,M
1902674,04092017187,THE 19TH HOLE,1527 TRYON RD ,,RALEIGH,NC,27603,(919) 772-9987,2016/04/01 04:00:00+00,Restaurant,352,-78.66755526,35.73521897,M
1902675,04092017181,COSTCO WHOLESALE #1206 FOOD COURT,1021 PINE PLAZA DR ,,APEX,NC,27523,(919) 331-6035,2016/03/14 04:00:00+00,Restaurant,356,-78.82726689,35.7464159,M
1902676,04092017178,RALEIGH RAW,7 W HARGETT ST ,,RALEIGH,NC,27601,(919) 400-0944,2016/03/14 04:00:00+00,Restaurant,357,-78.63957991,35.77810063,M
1902677,04092018368,D's Bottle Shop,13200 Falls of Neuse RD ,STE 115,RALEIGH,NC,27614,(919) 435-7034,2020/05/20 04:00:00+00,Restaurant,358,-78.55981965,35.9407555,M
1902678,04092016797,HYATT HOUSE FOOD SERVICE,10962 CHAPEL HILL RD ,,MORRISVILLE,NC,27560,(919) 388-5355,2014/11/12 05:00:00+00,Restaurant,372,-78.84052711,35.85506763,M
1902679,04092016487,PEACE CHINA,13220 Strickland  RD ,Ste 167,RALEIGH,NC,27613,(919) 676-9968,2013/08/14 04:00:00+00,Restaurant,376,-78.72593809,35.90878313,M
1902680,04092015321,SUBWAY #12460,706 W PEACE ST ,,RALEIGH,NC,27605,(919) 834-0605,2009/01/12 05:00:00+00,Restaurant,391,-78.64931864,35.78886208,M
1902681,04092017538,PIZZERIA FAULISI,215 E CHATHAM ST ,SUITE 101,CARY,NC,27511,(919) 377-8244,2017/02/21 05:00:00+00,Restaurant,392,-78.77734174,35.78786553,M
1902682,04092021606,HARRIS TEETER #422 MM/SEAFOOD,120-100 ST ALBANS DR ,,RALEIGH,NC,27609,(919) 781-4165,2010/02/03 05:00:00+00,Food Stand,227,-78.63887103,35.83819686,M
1902683,04092017542,AMERICAN DELI,1601-11 CROSS LINK RD ,,RALEIGH,NC,27610,(919) 516-5111,2017/03/01 05:00:00+00,Restaurant,351,-78.61376,35.75438832,M
1902684,04092021605,HARRIS TEETER #422 PRODUCE,120-100 ST ALBANS DR ,,RALEIGH,NC,27607,(919) 781-4165,2010/02/03 05:00:00+00,Food Stand,378,-78.63887103,35.83819686,M
1902685,04092018307,Szechuan Mansion Restaurant,1353 KILDAIRE FARM RD,,CARY,NC,27511,(919) 800-1802,2020/01/27 05:00:00+00,Restaurant,396,-78.78193974,35.75976658,M
1902686,04092018254,Teriyaki Madness,160 SHENSTONE BLVD,,GARNER,NC,27529,,2019/12/02 05:00:00+00,Restaurant,397,-78.58054205,35.69110315,M
1902687,04092025276,Square Burgers,225 E MARTIN ST ,,RALEIGH,NC,27601-1316,(919) 896-6600,2019/07/29 04:00:00+00,Food Stand,398,-78.63544584,35.77685868,M
1902688,04092025295,PIZZA HUT #1303,1009 E Broad ST ,,FUQUAY-VARINA,NC,27526,(919) 552-0771,2019/12/04 05:00:00+00,Food Stand,403,-78.78267467,35.59365948,M
1902689,04092021893,FOOD LION #1654 PRODUCE,7440 LOUISBURG RD ,,RALEIGH,NC,27616,(919) 875-1394,2015/10/21 04:00:00+00,Food Stand,411,-78.53977,35.87454018,M
1902690,04092021894,FOOD LION #2534 PRODUCE,13200 NEW FALLS OF NEUSE RD ,,RALEIGH,NC,27614,(919) 562-8912,2015/10/21 04:00:00+00,Food Stand,412,-78.55981965,35.9407555,M
1902691,04092021901,FOOD LION #723 PRODUCE,7053 KNIGHTDALE BLVD ,,KNIGHTDALE,NC,27545,(919) 266-5164,2015/10/27 04:00:00+00,Food Stand,413,-78.4900383,35.7998273,M
1902692,04092021953,COSTCO WHOLESALE #1206 ROTISSERIE/DELI,1021 PINE PLAZA DR ,,APEX,NC,27523,(919) 331-6035,2016/03/14 04:00:00+00,Food Stand,417,-78.82726689,35.7464159,M
1902693,04092025393,Little Caesars #39,203 Timber  DR ,,GARNER,NC,27529,(919) 772-7775,2021/09/24 04:00:00+00,Food Stand,423,-78.60613102,35.68500723,M
1902694,04092021928,CIRCLE K #2723302,1414  E WILLIAMS ST ,,APEX,NC,27539,(919) 362-5131,2016/02/25 05:00:00+00,Food Stand,425,-78.83931692,35.71149361,M
1902695,04092050028,NEUSE CHRISTIAN ACADEMY,7600 FALLS OF NEUSE  RD ,,RALEIGH,NC,27615,(919) 847-0160 ext. 274,2009/12/30 05:00:00+00,Private School Lunchrooms,427,-78.62608851,35.88760817,M
1902696,04092017900,The Arbor @ Morgan Street Food Hall,411 W Morgan ST ,,RALEIGH,NC,27603,(919) 834-2720,2018/07/25 04:00:00+00,Restaurant,428,-78.6456917,35.77945516,M
1902697,04092017186,STARBUCKS #25115,180 CABELA DR ,,GARNER,NC,27529,(919) 819-5059,2016/03/29 04:00:00+00,Restaurant,429,-78.58356211,35.69799194,M
1902698,04092017541,RISE BISCUITS & DONUTS,169 GRAND HILL PL ,,HOLLY SPRINGS,NC,27540,(919) 586-7343,2017/03/03 05:00:00+00,Restaurant,434,-78.84948074,35.66266499,M
1902699,04092050030,Wake Christian Academy Cafeteria,5500 Wake Academy Dr,,RALEIGH,NC,27603,(919) 772-6264,2018/08/03 04:00:00+00,Private School Lunchrooms,436,-78.67165429,35.70444604,M
1902700,04092016489,SONIC DRIVE IN #6020,1925 S MAIN ST ,,WAKE FOREST,NC,27587,(919) 554-1209,2013/08/20 04:00:00+00,Restaurant,446,-78.52999701,35.94975468,M
1902701,04092025369,Crepe Time Catering @ TKA,2201 S WILMINGTON ST,,RALEIGH,NC,27603,(919) 377-9447,2021/06/24 04:00:00+00,Food Stand,447,-78.63902655,35.752054,M
1902702,04092018247,PIZZA HUT #2020,11010 LAKE GROVE  BLVD ,,MORRISVILLE,NC,27650,(919) 234-0652,2019/12/03 05:00:00+00,Restaurant,449,-78.84707532,35.82315923,M
1902703,04092018627,Kazu Hibachi,8111 Creedmioor  RD ,Suite 149,RALEIGH,NC,27613,(919) 977-8999,2021/05/11 04:00:00+00,Restaurant,452,-78.68248786,35.89850336,M
1902704,04092014473,Mackey's Pub,2101 S Main  ST ,STE 112,WAKE FOREST ,NC,27587,(919) 562-5570,2006/01/20 05:00:00+00,Restaurant,459,-78.53310077,35.94802112,M
1902705,04092025338,Lowes Foods #262 Meat/Seafood,687 MILLS PARK DR,,CARY,NC,27519,,2021/02/16 05:00:00+00,Food Stand,460,-78.89712096,35.80863645,M
1902706,04092300278,GRAND ASIA MEAT MARKET,1253 BUCK JONES RD ,,RALEIGH,NC,27606-3326,(919) 468-2988,2017/02/22 05:00:00+00,Meat Market,461,-78.74067496,35.76583498,M
1902707,04092021744,LITTLE TOKYO,5959 TRIANGLE TOWN BLVD ,FC 1132,RALEIGH,NC,27616,(919) 792-0111,2013/05/28 04:00:00+00,Food Stand,467,-78.57603863,35.86599856,M
1902708,04092030426,DeMario's Smokin' Fry Masters (WCID #629),1155 TIMBER DR E,,GARNER,NC,27529-6916,(919) 605-5591,2019/07/02 04:00:00+00,Mobile Food Units,470,-78.57703897,35.68905989,T
1902709,04092018671,Burger King #11244,2791 NC 55 HWY ,,CARY,NC,27511,(919) 387-0071,2021/07/02 04:00:00+00,Restaurant,471,-78.87169627,35.78608086,M
1902710,04092021896,FOOD LION #1481 PRODUCE,7713 LEAD MINE RD ,,RALEIGH,NC,27615,(919) 518-1607,2015/10/21 04:00:00+00,Food Stand,480,-78.66044244,35.88617531,T
1902711,04092017894,Which Wich #670,7202 Knightdale BLVD ,,KNIGHTDALE,NC,27545,(919) 373-8883,2018/07/26 04:00:00+00,Restaurant,490,-78.48704631,35.79788571,M
1902712,04092016702,China Wok,7440-143 Louisburg RD ,,RALEIGH,NC,27616,(919) 862-9898,2014/05/28 04:00:00+00,Restaurant,475,-78.54049905,35.87559319,M
1902713,04092018318,TASU #2,525 NEW WAVERLY  PL ,SUITE 103,CARY,NC,27518,(919) 977-4037,2020/02/11 05:00:00+00,Restaurant,497,-78.77756307,35.73853619,M
1902714,04092016699,Sukhadia's Indian Cuisine,6715 Hillsborough Street,Suite 102,RALEIGH,NC,27606,(919) 389-1200,2014/05/30 04:00:00+00,Restaurant,508,-78.7439181,35.78820637,M
1902715,04092022030,AUNTIE ANNE'S NC #111,5959 TRIANGLE TOWN BLVD ,STE EU-2133,RALEIGH,NC,27616,(919) 792-2548,2017/08/30 04:00:00+00,Food Stand,513,-78.57603863,35.86599856,M
1902716,04092021604,The Butchers Market,1225 KILDAIRE FARM RD,,CARY,NC,27511,(919) 465-3082,2010/01/20 05:00:00+00,Food Stand,516,-78.78213078,35.7627377,M
1902717,04092030485,Dubz Grub (WCID #775),2201 S WILMINGTON ST,,RALEIGH,NC,27603-2559,(919) 539-6022,2020/07/06 04:00:00+00,Mobile Food Units,524,-78.63902655,35.752054,M
1902718,04092016169,NET APP CAFE BLDG3,7301 KIT CREEK RD ,BLDG 3,MORRISVILLE,NC,27560,(919) 476-5671,2012/04/20 04:00:00+00,Restaurant,527,-78.88578455,35.85727617,M
1902719,04092014757,Arby's #7814,2601 Wake Forest RD ,,RALEIGH,NC,27609,(919) 832-6885,2007/01/08 05:00:00+00,Restaurant,540,-78.62513234,35.81840468,M
1902720,04092025378,Wingstop #2032,1619 CROSS LINK RD,,RALEIGH,NC,27610,(919) 977-4111,2021/08/17 04:00:00+00,Food Stand,543,-78.61481064,35.75482608,M
1902721,04092017188,CHAMPA THAI & SUSHI,8521 BRIER CREEK  PKY ,STE 119,RALEIGH,NC,27617,(919) 806-0078,2016/03/31 04:00:00+00,Restaurant,550,-78.78334742,35.90685073,M
1902722,04092025265,Mama Crow's,500 E Davie  ST ,STE 116,RALEIGH,NC,27601,,2019/06/18 04:00:00+00,Food Stand,566,-78.63206132,35.77487463,M
1902723,04092016118,TENKO JAPAN,6325 FALLS OF NEUSE  RD ,,RALEIGH,NC,27615,(919) 876-4545,2012/03/01 05:00:00+00,Restaurant,572,-78.62251606,35.86922851,M
1902724,04092014480,Pruitt Health - Raleigh Dining,2420 Lake Wheeler RD,,RALEIGH,NC,27603,(919) 755-0226,2006/01/10 05:00:00+00,Restaurant,584,-78.67644314,35.74808355,M
1902725,04092018250,Pizza Hut #036586,3691 New Bern AVE ,,RALEIGH,NC,27610,(919) 900-8096,2019/12/03 05:00:00+00,Restaurant,585,-78.57923704,35.79885313,M
1902726,04092015549,BRAVO'S MEXICAN GRILL,208 GRANDE HEIGHTS DR ,,CARY,NC,27513,(919) 481-3811,2009/12/31 05:00:00+00,Restaurant,591,-78.7805746,35.804703,M
1902727,04092017798,SKY ZONE,2101  Westinghouse Blvd.,SUITE 111,RALEIGH,NC,27604,(919) 948-4450,2018/03/02 05:00:00+00,Restaurant,598,-78.59593599,35.80806334,M
1902728,04092017686,THE PICKLED ONION,10750 WAKEFIELD COMMONS DR ,SUITE 107,RALEIGH,NC,27614,(919) 848-4161,2017/09/29 04:00:00+00,Restaurant,599,-78.54123068,35.94195641,M
1902729,04092016675,CLYDE COOPER'S BARBECUE,327 S WILMINGTON ST ,,RALEIGH,NC,27601,(919) 832-7614,2014/04/15 04:00:00+00,Restaurant,604,-78.63784658,35.77659846,M
1902730,04092021426,Speedway #6959,2808 US 70 HWY E ,,CLAYTON,NC,27520-9321,(919) 553-3535,2006/12/21 05:00:00+00,Food Stand,611,-78.52023463,35.67517694,M
1902731,04092030290,TAQUERIA LA COSTENA (WCID #537),3905 GREEN LEVEL WEST RD ,"corner of Green Level West Rd &amp; Autumn Shade Dr",APEX,NC,27523,(919) 244-0786,2015/10/09 04:00:00+00,Mobile Food Units,614,-78.9125522,35.774781,M
1902732,04092018513,Another Broken Egg,1211 MARKET CENTER  DR ,,MORRISVILLE,NC,27560,(919) 465-1079,2020/12/29 05:00:00+00,Restaurant,621,-78.81477941,35.8080269,M
1902733,04092021961,PUBLIX #1520 MEAT/SEAFOOD,3480 KILDAIRE FARM RD ,,CARY,NC,27518,(919) 303-4024,2016/05/23 04:00:00+00,Food Stand,625,-78.79652253,35.70711378,M
1902734,04092016595,SMITHFIELD'S CHICKEN'N BAR-B-Q,7911 FAYETTEVILLE RD ,,RALEIGH,NC,27603,(919) 661-9151,2014/01/03 05:00:00+00,Restaurant,626,-78.69699987,35.66636356,M
1902735,04092040381,Wicked Links #4 (WCID #728),1101 BEAVER CREEK COMMONS DR,,APEX,NC,27502-3920,(919) 855-8548,2020/02/25 05:00:00+00,Pushcarts,633,-78.87546661,35.74471718,M
1902736,04092018638,Hibachi Japan,11216 CAPITAL BLVD ,STE 105,WAKE FOREST,NC,27587,(919) 556-8882,2021/06/01 04:00:00+00,Restaurant,636,-78.53734624,35.9524773,M
1902737,04092016397,GINO'S PIZZA,6260 GLENWOOD AVE ,STE 126,RALEIGH,NC,27612-2650,(919) 783-7555,2013/04/04 04:00:00+00,Restaurant,648,-78.70313649,35.85876954,M
1902738,04092021710,FIRE WOK,442 FAYETTEVILLE ST ,,RALEIGH,NC,27601,(919) 821-8089,2012/06/08 04:00:00+00,Food Stand,651,-78.63936414,35.77440995,M
1902739,04092030521,Abbey on the Road (WCID #812),1195 W CHATHAM ST,,CARY,NC,27513-5257,(919) 481-4434,2021/02/11 05:00:00+00,Mobile Food Units,654,-78.80690314,35.77079471,M
1902740,04092014980,Daly Cafe and Pub at Holiday Inn,930 Airport BLVD ,,MORRISVILLE,NC,27560,(919) 465-1910 ext. 101,2007/10/17 04:00:00+00,Restaurant,671,-78.82187156,35.85658845,M
1902741,04092014946,Good Taste Chinese Restaurant,532 W Gannon AVE ,,ZEBULON,NC,27597,(919) 404-1218,2007/08/17 04:00:00+00,Restaurant,676,-78.32626437,35.8212487,M
1902742,04092018121,Chido Taco,2330 BALE ST,,RALEIGH,NC,27608,(919) 594-1930,2019/06/27 04:00:00+00,Restaurant,679,-78.62748278,35.81292611,M
1902743,04092014948,Hardee's #1189,100 Vandora Springs RD ,,GARNER,NC,27529,(919) 772-7209,2007/09/12 04:00:00+00,Restaurant,688,-78.62108066,35.71260367,M
1902744,04092015464,POLAR ICE HOUSE,1410 BUCK JONES RD ,,RALEIGH,NC,27606,(919) 460-2756,2009/09/11 04:00:00+00,Restaurant,696,-78.74547814,35.76540093,M
1902745,04092021574,WALMART SUPERCENTER #4250 DELI,1001 SHILOH GLENN  DR ,,MORRISVILLE,NC,27560,(919) 474-2285,2009/06/16 04:00:00+00,Food Stand,704,-78.84693338,35.86659083,M
1902746,04092021725,MCDONALDS #10267,4325-2051 GLENWOOD AVE ,,RALEIGH,NC,27624,(919) 782-8240,2012/11/19 05:00:00+00,Food Stand,641,-78.67658819,35.8395892,M
1902747,04092025275,LOVE BAO TAIWANESE KITCHEN,1961 High House RD ,,CARY,NC,27519,(919) 622-3586,2019/07/22 04:00:00+00,Food Stand,714,-78.84865444,35.78921622,M
1902748,04092018483,LoneRider at Five Points,1626 Glenwood Ave ,,RALEIGH,NC,27608,(919) 322-2434,2020/11/10 05:00:00+00,Restaurant,719,-78.64536523,35.80340045,M
1902749,04092014558,KFC #J120095,4040 Capital BLVD,,RALEIGH,NC,27604,(919) 872-5356,2006/04/24 04:00:00+00,Restaurant,733,-78.58107016,35.83615994,M
1902750,04092017051,JERSEY MIKE'S #349,3201-139 EDWARDS MILL RD ,,RALEIGH,NC,27612,(984) 202-5627,2015/10/09 04:00:00+00,Restaurant,643,-78.70556784,35.82545067,M
1902751,04092016470,OLIVE GARDEN #4441,107 GRAND HILL PL ,,HOLLY SPRINGS,NC,27540,(919) 552-2237,2013/07/30 04:00:00+00,Restaurant,734,-78.84948074,35.66266499,M
1902752,04092021447,Hungry Howie's Pizza,1814-106 Oberlin RD ,,RALEIGH,NC,27608,(919) 789-0001,2007/05/04 04:00:00+00,Food Stand,706,-78.65535151,35.80875926,M
1902753,04092018120,Marco's Pizza #8486,7500 RAMBLE WAY,Suite 115,RALEIGH,NC,27616,(919) 825-1812,2019/06/26 04:00:00+00,Restaurant,744,-78.537511,35.87630713,M
1902754,04092018512,Poke Bros,7870 Alexander Promenade PL ,Ste 110,RALEIGH,NC,27617,(919) 797-2322,2020/12/30 05:00:00+00,Restaurant,752,-78.77695631,35.91424375,M
1902755,04092014551,KFC#J120119,3408 Poole RD,,RALEIGH,NC,27610,(919) 212-2504,2006/04/24 04:00:00+00,Restaurant,755,-78.57981204,35.76819436,M
1902756,04092015515,CAJUN CRAB HOUSE,6204-120 GLENWOOD  AVE ,,RALEIGH,NC,27612,(919) 781-7599,2009/11/10 05:00:00+00,Restaurant,708,-78.70283224,35.85653115,M
1902757,04092017064,ALOFT REFUEL AND WXYZ LOUNGE,2100 HILLSBOROUGH ST ,,RALEIGH,NC,27607,(919) 828-9900,2015/10/22 04:00:00+00,Restaurant,757,-78.66354224,35.78687212,M
1902758,04092017043,BALI-HAI,1571 US 70 HWY W ,,GARNER,NC,27529,(984) 200-5100,2015/09/26 04:00:00+00,Restaurant,771,-78.64815188,35.72323377,M
1902759,04092017041,FIREHOUSE SUBS #1138,4111 ED DR ,,RALEIGH,NC,27612,(919) 783-7102,2015/09/22 04:00:00+00,Restaurant,774,-78.70458274,35.82558522,M
1902760,04092014769,Umstead Hotel & Spa Food Service,100 Woodland Pond ,,CARY,NC,27513,(919) 447-4000,2007/01/12 05:00:00+00,Restaurant,773,-78.76554053,35.82938634,M
1902761,04092018503,Pita Bowl,9101 LEESVILLE  RD ,STE 141,RALEIGH,NC,27613,(919) 848-1211,2020/12/15 05:00:00+00,Restaurant,778,-78.72548207,35.8967595,M
1902762,04092160084,The Cardinal at North Hills Institutional Food Service,311 Garden at North Hills ST ,,RALEIGH,NC,27609,(984) 204-8444,2017/05/05 04:00:00+00,Institutional Food Service,781,-78.63539181,35.83593253,M
1902763,04092015734,Wade Park Cafe,5430  WADE PARK  BLVD ,,RALEIGH,NC,27607,(919) 859-5220,2010/10/18 04:00:00+00,Restaurant,784,-78.72815151,35.80750324,M
